f7_muestreo_de_suelos_id_;conglomerado_id_;ph;mat_org;porc_arena_from;porc_arena_to;porc_limo_from;porc_limo_to;porc_arcilla_from;porc_arcilla_to;textura;textura_code_id_;fosforo;potasio;calcio;magnesio;aluminio;sodio;cice;carorg;pessec;volcilindro;codigo_subparcela;codigo_conglomerado;supbconsulta;anio_ejecucion;anioVigencia;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA;ID_SUELOS_SEQ;ph_parsed;mat_org_Parsed;fosforo_parsed;potasio_parse;calcio_parsed;magnesio_parse;aluminio_parsed;sodio_parsed;cice_parsed;carorg_parse;pessec_parse;volcilindro_parsed
1000223;1000001;;;;;;;;;-1;-1;;;;;;;;;;;;038824;;2016;2016;;;;;;;;;;;;;;;;
2000236;2000001;;;;;;;;;-1;-1;;;;;;;;;;;;146211;;2016;2016;;;;;;;;;;;;;;;;
7000245;7000001;;;;;;;;;-1;-1;;;;;;;;;;;;052014;;2016;2016;;;;;;;;;;;;;;;;
10000239;10000001;;;;;;;;;-1;-1;;;;;;;;;;;;146634;;2016;2016;;;;;;;;;;;;;;;;
12000245;12000001;;;;;;;;;-1;-1;;;;;;;;;;;;158621;;2016;2016;;;;;;;;;;;;;;;;
14000216;14000001;;;;;;;;;-1;-1;;;;;;;;;;;;186943;;2016;2016;;;;;;;;;;;;;;;;
15000245;15000001;;;;;;;;;-1;-1;;;;;;;;;;;;052321;;2016;2016;;;;;;;;;;;;;;;;
17000201;17000001;;;;;;;;;-1;-1;;;;;;;;;;;;072022;;2016;2016;;;;;;;;;;;;;;;;
18000212;18000001;;;;;;;;;-1;-1;;;;;;;;;;;;086034;;2016;2016;;;;;;;;;;;;;;;;
27000201;27000001;;;;;;;;;-1;-1;;;;;;;;;;;;194943;;2016;2016;;;;;;;;;;;;;;;;
29000201;29000001;;;;;;;;;-1;-1;;;;;;;;;;;;131144;;2016;2016;;;;;;;;;;;;;;;;
30000263;30000001;;;;;;;;;-1;-1;;;;;;;;;;;;105433;;2016;2016;;;;;;;;;;;;;;;;
31000205;31000001;;;;;;;;;-1;-1;;;;;;;;;;;;100824;;2016;2016;;;;;;;;;;;;;;;;
33000186;33000001;;;;;;;;;-1;-1;;;;;;;;;;;;109013;;2016;2016;;;;;;;;;;;;;;;;
34000201;34000001;;;;;;;;;-1;-1;;;;;;;;;;;;113442;;2016;2016;;;;;;;;;;;;;;;;
38000223;38000001;;;;;;;;;-1;-1;;;;;;;;;;;;177541;;2016;2016;;;;;;;;;;;;;;;;
40000223;40000001;;;;;;;;;-1;-1;;;;;;;;;;;;088112;;2016;2016;;;;;;;;;;;;;;;;
41000202;41000001;;;;;;;;;-1;-1;;;;;;;;;;;;180414;;2016;2016;;;;;;;;;;;;;;;;
42000223;42000001;;;;;;;;;-1;-1;;;;;;;;;;;;096911;;2016;2016;;;;;;;;;;;;;;;;
44000212;44000001;;;;;;;;;-1;-1;;;;;;;;;;;;057023;;2016;2016;;;;;;;;;;;;;;;;
47000212;47000001;;;;;;;;;-1;-1;;;;;;;;;;;;056941;;2016;2016;;;;;;;;;;;;;;;;
54000304;54000001;;;;;;;;;-1;-1;;;;;;;;;;;;105221;;2016;2016;;;;;;;;;;;;;;;;
96000197;96000001;;;;;;;;;-1;-1;;;;;;;;;;;;109521;;2016;2016;;;;;;;;;;;;;;;;
