codigo_conglomerado;ID_CONGLOMERADO_SEQ;ID_SUBPARCELA;codigo_subparcela
038824                                                                                                                                                                                                                                                         ;;;
146211                                                                                                                                                                                                                                                         ;;;
052014                                                                                                                                                                                                                                                         ;;;
146634                                                                                                                                                                                                                                                         ;;;
158621                                                                                                                                                                                                                                                         ;;;
186943                                                                                                                                                                                                                                                         ;;;
052321                                                                                                                                                                                                                                                         ;;;
072022                                                                                                                                                                                                                                                         ;;;
086034                                                                                                                                                                                                                                                         ;;;
194943                                                                                                                                                                                                                                                         ;;;
131144                                                                                                                                                                                                                                                         ;;;
105433                                                                                                                                                                                                                                                         ;;;
100824                                                                                                                                                                                                                                                         ;;;
109013                                                                                                                                                                                                                                                         ;;;
113442                                                                                                                                                                                                                                                         ;;;
177541                                                                                                                                                                                                                                                         ;;;
088112                                                                                                                                                                                                                                                         ;;;
180414                                                                                                                                                                                                                                                         ;;;
096911                                                                                                                                                                                                                                                         ;;;
057023                                                                                                                                                                                                                                                         ;;;
056941                                                                                                                                                                                                                                                         ;;;
105221                                                                                                                                                                                                                                                         ;;;
156932                                                                                                                                                                                                                                                         ;;;
139332                                                                                                                                                                                                                                                         ;;;1
139332                                                                                                                                                                                                                                                         ;;;2
139332                                                                                                                                                                                                                                                         ;;;3
139332                                                                                                                                                                                                                                                         ;;;4
139332                                                                                                                                                                                                                                                         ;;;5
144821                                                                                                                                                                                                                                                         ;;;
144821                                                                                                                                                                                                                                                         ;;;
