f3_spf3_puntosreferencia_id_;f3_spf3_puntosreferencia_no;f3_spf3_puntosreferencia_azimut;f3_spf3_puntosreferencia_distancia_m;f3_spf3_puntosreferencia_dap_cm;f3_spf3_puntosreferencia_numero_colector;f3_spf3_puntosreferencia_observaciones;f3_spf3_puntosreferencia_numero_ind;ID_CONGLOMERADO_SEQ;ID_SUBPARCELA;numero_int
10000304;;;;;                                                                                                                                                                                                                                                               ;-no se realizó porque el punto dió en el agua, un caño                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                               ;1466;7118;
30000274;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;1054;5123;
32000327;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;870;4233;
38000300;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;1775;8628;
40000294;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;881;4288;
40000302;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;881;4288;
41000285;;;;;                                                                                                                                                                                                                                                               ;No se tomó                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                               ;1804;8768;
41000293;;;;;                                                                                                                                                                                                                                                               ;No se tomó                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                               ;1804;8768;
41000301;;;;;                                                                                                                                                                                                                                                               ;No se tomo                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                               ;1804;8768;
60000310;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;1947;9463;
86000236;;;;;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                               ;1701;8263;
97000191;1;110;3;16,5;HG 0244                                                                                                                                                                                                                                                        ;no                                                                                                                                                                                                                                                             ;9                                                                                                                                                                                                                                                              ;;;1
97000199;2;205;3,8;13,7;                                                                                                                                                                                                                                                               ;no                                                                                                                                                                                                                                                             ;12                                                                                                                                                                                                                                                             ;;;2
