f3_spf2_perturbaciones_cobertura_tipo_perturbacion;f3_spf2_perturbaciones_cobertura_severidad_perturbacion;f3_spf2_perturbaciones_cobertura_tipo_cobertura;observacion;codigo_conglomerado;anio_ejecucion;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA;f3_spf2_perturbaciones_cobertura_porcentaje;f3_spf2_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf2_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf2_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf2_perturbaciones_cobertura_tipo_cobertura_code_id_;anioVigencia;codigo_subparcela
CA;MP;AB;;038824;2016;;;;40;1000306;1000001;153;167;214;2016;2
CN;FP;CU;;038824;2016;;;;20;1000312;1000001;155;166;218;2016;2
FU;MP;HE;;038824;2016;;;;10;1000318;1000001;157;167;219;2016;2
VI;MP;MA;;038824;2016;;;;30;1000324;1000001;163;167;220;2016;2
CN;MP;BT;Sin Observacion;046143;2016;;;;100;4000276;4000001;155;167;216;2016;2
CN;MP;AB;;047744;2016;;;;10;6000295;6000001;155;167;214;2016;2
EA;MP;CU;;047744;2016;;;;10;6000301;6000001;156;167;218;2016;2
VI;MP;MA;;047744;2016;;;;60;6000307;6000001;163;167;220;2016;2
-1;-1;RA;;047744;2016;;;;20;6000313;6000001;-1;-1;223;2016;2
CA;FP;AB;;052014;2016;;;;35;7000322;7000001;153;166;214;2016;2
EA;FP;CU;;052014;2016;;;;20;7000328;7000001;156;166;218;2016;2
PC;MP;HE;;052014;2016;;;;5;7000334;7000001;160;167;219;2016;2
VI;FP;MA;;052014;2016;;;;10;7000340;7000001;163;166;220;2016;2
-1;-1;RA;;052014;2016;;;;30;7000346;7000001;-1;-1;223;2016;2
SP;NP;BT;sin observaciones;037611;2016;;;;100;8000271;8000001;162;168;216;2016;2
CN;MP;BI;;146634;2016;;;;100;10000298;10000001;155;167;217;2016;2
SP;NP;BT;Sin observaciones;042013;2016;;;;100;11000260;11000001;162;168;216;2016;2
CN;MP;BI;;158621;2016;;;;80;12000322;12000001;155;167;217;2016;2
-1;-1;MA;;158621;2016;;;;20;12000328;12000001;-1;-1;220;2016;2
SP;NP;BT;Sin Observaciones;037724;2016;;;;100;13000265;13000001;162;168;216;2016;2
CN;MP;-1;Sin Observaciones;037724;2016;;;;;13000271;13000001;155;167;-1;2016;2
CA;FP;MA;Sin observaciones;186943;2016;;;;100;14000281;14000001;153;166;220;2016;2
CL;FP;-1;Sin observaciones;186943;2016;;;;;14000287;14000001;154;166;;2016;2
CN;MP;AB;;052321;2016;;;;30;15000316;15000001;155;167;214;2016;2
PC;MP;HE;;052321;2016;;;;10;15000322;15000001;160;167;219;2016;2
SP;FP;MA;;052321;2016;;;;10;15000328;15000001;162;166;220;2016;2
-1;-1;BT;;052321;2016;;;;50;15000334;15000001;-1;-1;216;2016;2
CA;FP;AB;;086034;2016;;;;30;18000295;18000001;153;166;214;2016;2
CL;FP;BI;;086034;2016;;;;10;18000301;18000001;154;166;217;2016;2
EA;FP;CU;;086034;2016;;;;10;18000307;18000001;156;166;218;2016;2
FU;MP;HE;;086034;2016;;;;25;18000313;18000001;157;167;219;2016;2
PC;MP;MA;;086034;2016;;;;25;18000319;18000001;160;167;220;2016;2
VI;MP;-1;;086034;2016;;;;;18000325;18000001;163;167;-1;2016;2
CN;MP;AB;;090512;2016;;;;30;19000321;19000001;155;167;214;2016;2
FU;MP;BT;;090512;2016;;;;60;19000327;19000001;157;167;216;2016;2
-1;-1;HE;;090512;2016;;;;10;19000333;19000001;-1;-1;219;2016;2
CA;MP;BI;no;071442;2016;;;;60;20000208;20000001;153;167;217;2016;2
EA;MP;AB;no;071442;2016;;;;20;20000214;20000001;156;167;214;2016;2
PC;MP;RA;no;071442;2016;;;;20;20000220;20000001;160;167;223;2016;2
SP;NP;BT;Sin observaciones;002343;2016;;;;100;21000298;21000001;162;168;216;2016;2
CN;NP;BT;Sin observaciones;002123;2016;;;;100;24000276;24000001;155;168;216;2016;2
SP;NP;BT;Sin Observacion;003641;2016;;;;100;25000286;25000001;162;168;216;2016;2
CN;MP;BT;Sin Observacion;005334;2016;;;;100;26000238;26000001;155;167;216;2016;2
SP;NP;-1;Sin Observacion;005334;2016;;;;;26000244;26000001;162;168;-1;2016;2
CA;FP;AB;;122232;2016;;;;5;28000278;28000001;153;166;214;2016;2
EA;FP;CU;;122232;2016;;;;50;28000284;28000001;156;166;218;2016;2
PC;MP;HE;;122232;2016;;;;10;28000290;28000001;160;167;219;2016;2
PE;MP;MA;;122232;2016;;;;5;28000296;28000001;161;167;220;2016;2
VI;MP;RA;;122232;2016;;;;30;28000302;28000001;163;167;223;2016;2
PC;MP;BT;;105433;2016;;;;80;30000262;30000001;160;167;216;2016;2
CN;MP;RA;;105433;2016;;;;20;30000268;30000001;155;167;223;2016;2
CN;MP;BT;;100824;2016;;;;33,3;31000246;31000001;155;167;216;2016;2
-1;-1;AR;;100824;2016;;;;33,3;31000252;31000001;-1;-1;215;2016;2
-1;-1;RA;;100824;2016;;;;33,3;31000258;31000001;-1;-1;223;2016;2
CN;MP;BT;;087014;2016;;;;100;32000321;32000001;155;167;216;2016;2
CA;FP;AB;;109013;2016;;;;30;33000269;33000001;153;166;214;2016;2
EA;FP;HE;;109013;2016;;;;10;33000275;33000001;156;166;219;2016;2
PE;MP;MA;;109013;2016;;;;10;33000281;33000001;161;167;220;2016;2
VI;MP;CU;;109013;2016;;;;50;33000287;33000001;163;167;218;2016;2
CN;MP;AB;;113442;2016;;;;30;34000272;34000001;155;167;214;2016;2
PC;MP;HE;;113442;2016;;;;10;34000278;34000001;160;167;219;2016;2
VI;MP;MA;;113442;2016;;;;10;34000284;34000001;163;167;220;2016;2
-1;-1;RA;;113442;2016;;;;50;34000290;34000001;-1;-1;223;2016;2
EA;MP;BT;Sin observaciones;185711;2016;;;;80;35000243;35000001;156;167;216;2016;2
CN;MP;HE;Sin observaciones;185711;2016;;;;20;35000249;35000001;155;167;219;2016;2
EA;NP;RA;;092531;2016;;;;100;37000304;37000001;156;168;223;2016;2
CA;MP;-1;;092531;2016;;;;;37000310;37000001;153;167;-1;2016;2
CA;FP;MA;Sin observaciones;177541;2016;;;;50;38000288;38000001;153;166;220;2016;2
PA;FP;PA;Sin observaciones;177541;2016;;;;50;38000294;38000001;159;166;221;2016;2
CA;MP;AB;;095821;2016;;;;30;39000318;39000001;153;167;214;2016;2
CL;MP;HE;;095821;2016;;;;10;39000324;39000001;154;167;219;2016;2
EA;MP;MA;;095821;2016;;;;40;39000330;39000001;156;167;220;2016;2
PA;MP;RA;;095821;2016;;;;20;39000336;39000001;159;167;223;2016;2
PC;MP;-1;;095821;2016;;;;;39000342;39000001;160;167;-1;2016;2
VI;MP;-1;;095821;2016;;;;;39000348;39000001;163;167;-1;2016;2
SP;FP;BI;Morichal;088112;2016;;;;50;40000282;40000001;162;166;217;2016;2
-1;-1;RA;;088112;2016;;;;50;40000288;40000001;-1;-1;223;2016;2
CA;FP;AB;Sin observaciones;180414;2016;;;;10;41000267;41000001;153;166;214;2016;2
CL;FP;BT;Sin observaciones;180414;2016;;;;80;41000273;41000001;154;166;216;2016;2
PA;FP;-1;Sin observaciones;180414;2016;;;;;41000279;41000001;159;166;;2016;2
SP;FP;PA;Sabana;096911;2016;;;;96;42000282;42000001;162;166;221;2016;2
SP;-1;HE;;096911;2016;;;;4;42000288;42000001;162;-1;219;2016;2
CA;FP;AB;Sin observaciones;185244;2016;;;;90;43000275;43000001;153;166;214;2016;2
PA;FP;RA;Sin observaciones;185244;2016;;;;10;43000281;43000001;159;166;223;2016;2
CA;MP;AB;;057023;2016;;;;15;44000295;44000001;153;167;214;2016;2
CL;MP;BT;;057023;2016;;;;50;44000301;44000001;154;167;216;2016;2
CN;MP;MA;;057023;2016;;;;15;44000307;44000001;155;167;220;2016;2
EA;MP;RA;;057023;2016;;;;20;44000313;44000001;156;167;223;2016;2
PC;MP;-1;;057023;2016;;;;;44000319;44000001;160;167;-1;2016;2
CA;FP;HE;no;071511;2016;;;;30;45000139;45000001;153;166;219;2016;2
VI;FP;PA;no;071511;2016;;;;70;45000145;45000001;163;166;221;2016;2
CA;FP;AB;;061922;2016;;;;20;46000294;46000001;153;166;214;2016;2
EA;MP;CU;;061922;2016;;;;10;46000300;46000001;156;167;218;2016;2
FU;MP;HE;;061922;2016;;;;5;46000306;46000001;157;167;219;2016;2
PA;MP;MA;;061922;2016;;;;50;46000312;46000001;159;167;220;2016;2
PE;MP;PA;;061922;2016;;;;15;46000318;46000001;161;167;221;2016;2
VI;MP;-1;;061922;2016;;;;;46000324;46000001;163;167;-1;2016;2
CA;FP;CU;;056941;2016;;;;70;47000289;47000001;153;166;218;2016;2
CL;FP;HE;;056941;2016;;;;25;47000295;47000001;154;166;219;2016;2
EA;FP;MA;;056941;2016;;;;5;47000301;47000001;156;166;220;2016;2
PC;MP;-1;;056941;2016;;;;;47000307;47000001;160;167;-1;2016;2
PE;MP;-1;;056941;2016;;;;;47000313;47000001;161;167;-1;2016;2
VI;FP;-1;;056941;2016;;;;;47000319;47000001;163;166;-1;2016;2
CN;MP;BT;no;139512;2016;;;;60;48000162;48000001;155;167;216;2016;2
HV;MP;MA;no;139512;2016;;;;40;48000168;48000001;158;167;220;2016;2
CA;MP;RA;Sin observaciones;192833;2016;;;;100;49000240;49000001;153;167;223;2016;2
PA;NP;AR;;163832;2016;;;;5;50000269;50000001;159;168;215;2016;2
CA;NP;PA;;163832;2016;;;;5;50000275;50000001;153;168;221;2016;2
-1;-1;BT;;163832;2016;;;;90;50000281;50000001;;;216;2016;2
SP;NP;BT;;053512;2016;;;;100;51000243;51000001;162;168;216;2016;2
SP;NP;VA;;053621;2016;;;;100;52000271;52000001;162;168;;2016;2
SP;NP;BT;;049214;2016;;;;100;53000254;53000001;162;168;216;2016;2
CA;MP;BT;NA;105221;2016;;;;60;54000363;54000001;153;167;216;2016;2
CN;FP;PA;NA;105221;2016;;;;40;54000369;54000001;155;166;221;2016;2
CA;NP;MA;Si bien no se evidencio perturbación reciente, el tipo de cobertura y el estado sucesional secundario del bosque señala la intervención;109842;2016;;;;20;55000368;55000001;153;168;220;2016;2
CA;FP;CU;--;175144;2016;;;;100;56000267;56000001;153;166;218;2016;2
CN;MP;BT;;143421;2016;;;;70;58000276;58000001;155;167;216;2016;2
-1;-1;BI;;143421;2016;;;;30;58000282;58000001;-1;-1;217;2016;2
CA;FP;RA;Sin observaciones;194713;2016;;;;100;60000282;60000001;153;166;223;2016;2
EA;FP;-1;Sin observaciones;194713;2016;;;;;60000288;60000001;156;166;;2016;2
SP;FP;PA;sabana;120744;2016;;;;100;61000304;61000001;162;166;221;2016;2
CN;MP;BT;Sin observaciones;167113;2016;;;;100;62000298;62000001;155;167;216;2016;2
CN;FP;BT;sin observaciones;164741;2016;;;;70;63000293;63000001;155;166;216;2016;2
-1;-1;RA;Sin observaciones;164741;2016;;;;30;63000299;63000001;;;223;2016;2
CA;FP;CU;;115923;2016;;;;100;64000269;64000001;153;166;218;2016;2
CN;MP;RA;;124431;2016;;;;50;65000308;65000001;155;167;223;2016;2
-1;-1;BI;;124431;2016;;;;50;65000314;65000001;-1;-1;217;2016;2
CN;NP;BT;Sin observaciones;150032;2016;;;;100;66000260;66000001;155;168;216;2016;2
CA;NP;-1;Sin observaciones;150032;2016;;;;;66000266;66000001;153;168;;2016;2
CN;FP;BT;;193331;2016;;;;100;68000234;68000001;155;166;216;2016;2
CN;MP;BT;;180312;2016;;;;100;69000271;69000001;155;167;216;2016;2
CA;MP;-1;;180312;2016;;;;;69000277;69000001;153;167;;2016;2
CN;MP;BT;Sin observaciones;170034;2016;;;;100;70000241;70000001;155;167;216;2016;2
CA;FP;PA;Sabana;115514;2016;;;;20;71000316;71000001;153;166;221;2016;2
PC;FP;RA;;115514;2016;;;;30;71000322;71000001;160;166;223;2016;2
-1;-1;BT;;115514;2016;;;;20;71000328;71000001;-1;-1;216;2016;2
-1;-1;CU;;115514;2016;;;;30;71000334;71000001;-1;-1;218;2016;2
EA;FP;BT;;173513;2016;;;;100;72000259;72000001;156;166;216;2016;2
CA;FP;-1;;173513;2016;;;;;72000265;72000001;153;166;;2016;2
CL;FP;-1;;173513;2016;;;;;72000271;72000001;154;166;;2016;2
PC;MP;-1;;173513;2016;;;;;72000277;72000001;160;167;;2016;2
HV;MP;PA;sabana;147923;2016;;;;97;73000282;73000001;158;167;221;2016;2
-1;-1;AB;saladillo;147923;2016;;;;3;73000288;73000001;-1;-1;214;2016;2
CN;MP;BT;;140722;2016;;;;100;74000308;74000001;155;167;216;2016;2
CA;MP;-1;;140722;2016;;;;;74000314;74000001;153;167;-1;2016;2
EA;MP;-1;;140722;2016;;;;;74000320;74000001;156;167;-1;2016;2
EA;MP;BT;;167414;2016;;;;80;75000299;75000001;156;167;216;2016;2
CN;MP;RA;;167414;2016;;;;20;75000305;75000001;155;167;223;2016;2
CA;MP;-1;;167414;2016;;;;;75000311;75000001;153;167;;2016;2
SP;NP;BT;no;047113;2016;;;;100;76000184;76000001;162;168;216;2016;2
PA;MP;AR;;157622;2016;;;;50;77000310;77000001;159;167;215;2016;2
-1;-1;MA;;157622;2016;;;;25;77000316;77000001;-1;-1;220;2016;2
-1;-1;AR;;157622;2016;;;;25;77000322;77000001;-1;-1;215;2016;2
CN;MP;BT;no;117243;2016;;;;70;78000263;78000001;155;167;216;2016;2
-1;-1;HE;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;117243;2016;;;;30;78000269;78000001;-1;-1;219;2016;2
SP;FP;PA;sabana;151632;2016;;;;100;79000298;79000001;162;166;221;2016;2
CA;FP;PA;debido a la falta de vegetacion se toma como Ref3 un individuo fuera del área muestral;114032;2016;;;;100;80000276;80000001;153;166;221;2016;2
SP;MP;BT;;149714;2016;;;;20;81000247;81000001;162;167;216;2016;2
-1;-1;RA;;149714;2016;;;;80;81000253;81000001;;;223;2016;2
CA;FP;RA;Sin observaciones;189921;2016;;;;70;83000256;83000001;153;166;223;2016;2
PA;FP;PA;Sin observaciones;189921;2016;;;;30;83000262;83000001;159;166;221;2016;2
SP;NP;BT;Bosque de galeria;100441;2016;;;;100;84000390;84000001;162;168;216;2016;2
CA;FP;RA;;170313;2016;;;;100;85000258;85000001;153;166;223;2016;2
-1;-1;BT;;170131;2016;;;;100;86000230;86000001;;;216;2016;2
CA;FP;CU;;178931;2016;;;;100;87000256;87000001;153;166;218;2016;2
PC;MP;CU;no;051521;2016;;;;100;89000184;89000001;160;167;218;2016;2
PA;FP;PA;;153324;2016;;;;100;90000250;90000001;159;166;221;2016;2
SP;NP;BT;;152814;2016;;;;100;91000276;91000001;162;168;216;2016;2
EA;FP;BT;;153244;2016;;;;100;92000275;92000001;156;166;216;2016;2
CA;FP;BI;no;051433;2016;;;;100;93000199;93000001;153;166;217;2016;2
CN;MP;AB;;166712;2016;;;;50;94000304;94000001;155;167;214;2016;2
-1;-1;BI;;166712;2016;;;;35;94000310;94000001;;;217;2016;2
-1;-1;BT;;166712;2016;;;;40;94000316;94000001;;;216;2016;2
PA;FP;PA;;156932;2016;;;;95;95000250;95000001;159;166;221;2016;2
-1;FP;AB;;156932;2016;;;;5;95000256;95000001;;166;214;2016;2
CA;FP;CU;;109521;2016;;;;100;96000216;96000001;153;166;218;2016;2
SP;NP;BI;no;139332;2016;;;;100;97000185;97000001;162;168;217;2016;2
CA;MP;CU;;172844;2016;;;;30;98000275;98000001;153;167;218;2016;2
CL;MP;RA;;172844;2016;;;;60;98000281;98000001;154;167;223;2016;2
-1;-1;BT;;172844;2016;;;;10;98000287;98000001;-1;-1;216;2016;2
