f3_spf3_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf3_perturbaciones_cobertura_tipo_perturbacion;f3_spf3_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf3_perturbaciones_cobertura_severidad_perturbacion;f3_spf3_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf3_perturbaciones_cobertura_tipo_cobertura;f3_spf3_perturbaciones_cobertura_tipo_cobertura_code_id_;f3_spf3_perturbaciones_cobertura_porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
1000354;1000001;CA;153;FP;166;AB;214;10;;038824;2016;2016;3;;;
1000360;1000001;FU;157;NP;168;CU;218;5;;038824;2016;2016;3;;;
1000366;1000001;PA;159;FP;166;HE;219;15;;038824;2016;2016;3;;;
1000372;1000001;-1;-1;-1;-1;MA;220;20;;038824;2016;2016;3;;;
1000378;1000001;-1;-1;-1;-1;PA;221;50;;038824;2016;2016;3;;;
4000306;4000001;CN;155;NP;168;BT;216;100;Sin Observacion;046143;2016;2016;3;;;
6000343;6000001;CA;153;FP;166;AB;214;5;;047744;2016;2016;3;;;
6000349;6000001;CN;155;MP;167;CU;218;30;;047744;2016;2016;3;;;
6000355;6000001;EA;156;MP;167;HE;219;12;;047744;2016;2016;3;;;
6000361;6000001;PA;159;FP;166;MA;220;10;;047744;2016;2016;3;;;
6000367;6000001;PC;160;FP;166;PA;221;13;;047744;2016;2016;3;;;
6000373;6000001;VI;163;MP;167;RA;223;30;;047744;2016;2016;3;;;
7000376;7000001;CA;153;FP;166;AB;214;5;;052014;2016;2016;3;;;
7000382;7000001;EA;156;FP;166;CU;218;85;;052014;2016;2016;3;;;
7000388;7000001;PC;160;FP;166;HE;219;5;;052014;2016;2016;3;;;
7000394;7000001;-1;-1;-1;-1;MA;220;5;;052014;2016;2016;3;;;
8000301;8000001;SP;162;NP;168;BT;216;100;sin observaciones;037611;2016;2016;3;;;
10000312;10000001;-1;-1;-1;-1;-1;-1;;No se pudo hacer por que el punto dio en el agua (caño);146634;2016;2016;3;;;
11000290;11000001;CN;155;MP;167;BT;216;100;Sin observaciones;042013;2016;2016;3;;;
11000296;11000001;SP;162;NP;168;-1;-1;;Sin observaciones;042013;2016;2016;3;;;
12000358;12000001;CN;155;FP;166;RA;223;10;;158621;2016;2016;3;;;
12000364;12000001;PA;159;FP;166;PN;222;60;;158621;2016;2016;3;;;
12000370;12000001;-1;-1;-1;-1;HE;219;20;;158621;2016;2016;3;;;
13000301;13000001;CN;155;NP;168;BT;216;100;Sin Observaciones;037724;2016;2016;3;;;
