f3_spf1_perturbaciones_cobertura_id_;tipo_perturbacion;tipo_perturbacion_code_id_;severidad_perturbacion;severidad_perturbacion_code_id_;tipo_cobertura;tipo_cobertura_code_id_;porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
1000246;CA;153;FP;166;AB;214;35;;038824;2016;2016;1;;;
1000252;CN;155;MP;167;CU;218;10;;038824;2016;2016;1;;;
1000258;EA;156;MP;167;HE;219;30;;038824;2016;2016;1;;;
1000264;FU;157;MP;167;MA;220;15;;038824;2016;2016;1;;;
1000270;HV;158;MP;167;PA;221;10;;038824;2016;2016;1;;;
1000276;PC;160;MP;167;-1;-1;;;038824;2016;2016;1;;;
4000246;CN;155;MP;167;BT;216;100;Sin Observacion;046143;2016;2016;1;;;
6000235;CA;153;MP;167;CU;218;10;;047744;2016;2016;1;;;
6000241;CN;155;FP;166;HE;219;15;;047744;2016;2016;1;;;
6000247;EA;156;MP;167;MA;220;60;;047744;2016;2016;1;;;
6000253;PA;159;MP;167;PA;221;5;;047744;2016;2016;1;;;
6000259;PC;160;MP;167;RA;223;10;;047744;2016;2016;1;;;
6000265;VI;163;MP;167;-1;-1;;;047744;2016;2016;1;;;
7000268;CA;153;MP;167;AB;214;15;;052014;2016;2016;1;;;
7000274;CN;155;MP;167;CU;218;20;;052014;2016;2016;1;;;
7000280;EA;156;FP;166;HE;219;5;;052014;2016;2016;1;;;
7000286;PC;160;FP;166;MA;220;5;;052014;2016;2016;1;;;
7000292;VI;163;MP;167;RA;223;55;;052014;2016;2016;1;;;
8000235;CN;155;MP;167;BT;216;100;sin observaciones;037611;2016;2016;1;;;
8000241;SP;162;MP;167;-1;-1;;sin observaciones;037611;2016;2016;1;;;
10000262;CN;155;MP;167;BI;217;80;;146634;2016;2016;1;;;
10000268;CN;155;MP;167;RA;223;20;;146634;2016;2016;1;;;
11000224;CN;155;MP;167;BT;216;100;Sin observaciones;042013;2016;2016;1;;;
11000230;SP;162;NP;168;-1;-1;;Sin observaciones;042013;2016;2016;1;;;
12000268;CA;153;FP;166;HE;219;20;;158621;2016;2016;1;;;
12000274;EA;156;FP;166;PA;221;70;;158621;2016;2016;1;;;
12000280;FU;157;MP;167;RA;223;10;;158621;2016;2016;1;;;
12000286;PA;159;MP;167;-1;-1;;;158621;2016;2016;1;;;
12000292;PC;160;MP;167;-1;-1;;;158621;2016;2016;1;;;
13000235;SP;162;NP;168;BT;216;100;Sin Observaciones;037724;2016;2016;1;;;
14000239;CA;153;FP;166;MA;220;90;Sin observaciónes;186943;2016;2016;1;;;
