f5_coleccion_botanica_id_;conglomerado_id_;codigo_subparcela;tipo_individuo;f5_coleccion_botanica_no_id;nombre_comun;familia_taxonomica;no_familia_en_lista;genero_taxonomico;no_genero_en_lista;especie_taxonomica;no_especie_en_lista;observaciones_individuo;numero_colector;colectada;codigo_parcela;anio_ejecucion;anioVigencia;ID_PPERMANENTE_SEQ;ID_BRIG_CONG
1001314;1000001;1;b;5;NN;melastomataceae;;tibouchina;;-1;;Igual a B2. MAS3554.;;N;038824;${anio_ejecucion};2016;;
1001479;1000001;1;b;10;NN;fabaceae;;otholobium;;-1;;Igual a B1. MAS3553.;;N;038824;${anio_ejecucion};2016;;
1001512;1000001;1;b;11;NN;fabaceae;;otholobium;;-1;;Igual a B1. MAS3553.;;N;038824;${anio_ejecucion};2016;;
1001380;1000001;1;b;7;NN;myrtaceae;;-1;;-1;;Arbusto de 0,54 m de altura. Hojas de consistencia coriácea, haz lustroso, pecíolos rojizos, frutos caulinares con aroma agradable, tipo drupa de color amarillo-rojizo cuando maduros. Muestra fértil.;MAS3556;Y;038824;${anio_ejecucion};2016;;
1001182;1000001;1;b;1;NN;fabaceae;;otholobium;;-1;;Subfrútice de 0,55 m de altura. Tallos y pecíolos con tricomas, hojas trifoliadas con puntos traslúcidos, inflorescencias axilares tipo espiga de color morado, pedúnculo y brácteas florales con abundantes tricomas. Muestra fértil.;MAS3553;Y;038824;${anio_ejecucion};2016;;
1001413;1000001;1;b;8;NN;ericaceae;;bejaria;;-1;;Igual a B6. MAS3555.;;N;038824;${anio_ejecucion};2016;;
1001347;1000001;1;b;6;NN;ericaceae;;bejaria;;-1;;Arbusto de 0,46 m de altura. Hojas coriáceas, glaucas por el envés, flores terminales, pétalos color fucsia. Muestra fértil.;MAS3555;Y;038824;${anio_ejecucion};2016;;
1001446;1000001;1;b;9;NN;fabaceae;;otholobium;;-1;;Igual a B1. MAS3553.;;N;038824;${anio_ejecucion};2016;;
1001215;1000001;1;b;2;NN;melastomataceae;;tibouchina;;-1;;Subfrútice de 0,44 m de altura. Tallo pubescente hacia la parte apical, hojas pubescentes por haz y envés, pecíolos color vinotinto, pecíolos, pedúnculos, raquiz, botones florales presentan pubescencia, inflorescencia tipo panícula con flores de color violeta. Muestra fértil.;MAS3554;Y;038824;${anio_ejecucion};2016;;
1001281;1000001;1;b;4;NN;melastomataceae;;tibouchina;;-1;;Igual a B2. MAS3554.;;N;038824;${anio_ejecucion};2016;;
1001248;1000001;1;b;3;NN;melastomataceae;;tibouchina;;-1;;Igual a B2. MAS3554.;;N;038824;${anio_ejecucion};2016;;
1001908;1000001;2;b;23;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001941;1000001;2;b;24;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001974;1000001;2;b;25;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1002007;1000001;2;b;26;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1002040;1000001;2;b;27;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1002073;1000001;2;b;28;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1002106;1000001;2;f;29;Pino;pinaceae;;pinus;;-1;;Igual a MAS3557.Es un Punto de Referencia 2 de SPF2.;;N;038824;${anio_ejecucion};2016;;
1001677;1000001;2;b;16;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001545;1000001;2;b;12;NN;fabaceae;;otholobium;;-1;;Subfrútice de 0,94 m de altura. Tallos y pecíolos con tricomas, hojas trifoliadas con puntos traslúcidos, inflorescencias axilares tipo espiga de color morado, pedúnculo y brácteas florales con abundantes tricomas. Muestra fértil.;MAS3559;Y;038824;${anio_ejecucion};2016;;
1001578;1000001;2;b;13;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001611;1000001;2;b;14;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001644;1000001;2;b;15;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001710;1000001;2;b;17;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001743;1000001;2;b;18;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001776;1000001;2;b;19;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001809;1000001;2;b;20;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001842;1000001;2;b;21;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1001875;1000001;2;b;22;NN;fabaceae;;otholobium;;-1;;Igual a B12. MAS3559.;;N;038824;${anio_ejecucion};2016;;
1002139;1000001;3;b;30;NN;hypericaceae;;hypericum;;-1;;Arbusto de 0,43 m de altura. Hojas sésiles tipo roseta. Muestra infértil.;MAS3560;Y;038824;${anio_ejecucion};2016;;
1002172;1000001;4;b;31;NN;-1;Siparunaceae;-1;Siparuna;-1;;Arbusto de 1,13 m de altura. Tallo y pecíolos pulverulento, vena principal y haz con abundantes tricomas. Presenta olor aromático (limón). Muestra infértil.;MAS3561;Y;038824;${anio_ejecucion};2016;;
1002205;1000001;4;b;32;NN;indeterminada;;-1;;-1;;Arbusto de 1,12 m de altura. Muestra infértil.;MAS3562;Y;038824;${anio_ejecucion};2016;;
1002238;1000001;4;b;33;NN;indeterminada;;-1;;-1;;Igual a B12. MAS3562.;;N;038824;${anio_ejecucion};2016;;
1002271;1000001;4;b;34;NN;melastomataceae;;tibouchina;;-1;;Arbusto de 1,13 m de altura. Tallo pubescente hacia la parte apical. Hojas pubescentes por haz y envés, pecíolos pubescentes. Muestra infértil.;MAS3563;Y;038824;${anio_ejecucion};2016;;
1002304;1000001;4;l;35;NN;myrtaceae;;-1;;-1;;Arbusto de 4,3 m de altura. Pecíolos rojizos, hojas de consistencia coriácea, haz lustroso, frutos caulinares tipo drupa con aroma agradable, de color amarillo-rojizo cuando maduros. Muestra fértil.;MAS3564;Y;038824;${anio_ejecucion};2016;;
1002337;1000001;4;f;36;NN;-1;Muerto en Pie;-1;;-1;;Muerto en pie.;;N;038824;${anio_ejecucion};2016;;
1002370;1000001;4;l;37;NN;actinidiaceae;;saurauia;;-1;;Igual a F37. MAS3565.;;N;038824;${anio_ejecucion};2016;;
